GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AOT001,APP001,APP002,APP003,APP004,AP3001,AP3002,AP3003,AP3004,AP3005,AP3006,AP3007,AP3008,AP3009,AP3010,AP3011,AP3012,AP3013,AP3014,AP3015,AP3016,AP3017,AP3018,AP3019,AP3020,AP3021,AP3022,AP3023,AP3024,AP3025,AP3026,AP3027,AP3028,AP3029,AP3030,AP3031,AP3032,AP3033,AP3034,AP3035,AP3036,AP3037,AP3038,AP3039,AP3040,AP3041,AP3042,AP3043,AP3044,AP3045,AP3046,AP3047,AP3048,AP3049,AP3050,AP3051,AP3052,AP3053,AP3054,AP3055,AP3056,AP3057,AP3058,AP3059,AP3060,AP3061,AP3062,AP3063,AP3064,AP3065,AP3066,AP3067,AP3068,AP3069,AP3070,AP3071,AP3072,AP3073,AP3074,AP3075,AP3076,AP4001,AP4002
"G340","1880","New Jersey","340",,"New Jersey",1131116,1092017,38853,172,74,150,26,236,55,6071,4113,191,493,1140,427,272,104,483,388,1961,4556,6583,627,146,109,442,34,13,1121,725614,94692,650,2409,12,46754,1075,660,240,118,1337,4789,107,426,0,3,11,691,2,10,2,39,14,3,3,14,725614,41,26,864,429,3536,18,196,146,1264,32148,3739,64935,22,4281,93079,1547,65,748,23,301,7633,114,1851,3040,375,909416,221700
"G355","1880","New Mexico Territory","355",,"New Mexico Territory",119565,108721,1015,57,9772,79,182,1131,455,133,17,14,80,607,460,292,337,429,92,117,146,237,132,80,72,883,34,6,49,81,666,52,826,9,693,30,45,252,1027,111,301,21,135,0,52,3,24,5,24,16,101046,18,2,11,0,101046,1,0,15,13,280,0,52,13,23,367,167,729,0,6,795,73,5173,22,8,16,110,12,56,54,7,111514,8051
"G360","1880","New York","360",,"New York",5082871,5016022,65104,926,819,793,106,1551,239,38662,1247,645,2239,6504,2040,1928,552,1720,2211,7206,7842,42501,7700,526,835,1886,199,52,7380,47266,3556394,2274,11599,76,56155,6252,2696,952,550,31271,12586,293,3683,4,27,36,2259,17,52,30,113,260,31,17,35,3556394,156,137,6530,8748,84182,65,1015,2227,3145,123585,20321,355913,263,8399,499445,15113,237,11999,295,5438,28066,1216,13349,10721,1734,3871492,1211379
"G370","1880","North Carolina","370",,"North Carolina",1399750,867242,531277,1,1230,642,186,26,6,190,67,185,3338,143,224,29,37,365,129,139,630,336,38,531,8,135,5,2,56,248,889,1344553,257,5,891,77,16121,5194,224,154,19486,154,174,0,1,2,98,2,9,1,1,3,5,8,4,1344553,24,3,10,14,425,7,10,11,58,750,59,950,5,23,611,42,1,18,12,11,408,8,34,67,45,1396008,3742
"G390","1880","Ohio","390",,"Ohio",3198062,3117920,79900,112,130,727,294,487,87,9003,1671,111,809,10013,27202,4609,1444,32492,1235,2386,20091,10854,11403,1043,614,3873,342,32,2626,10487,64138,3971,2361437,63,138163,889,968,3770,384,7064,51647,12812,2727,0,19,25,730,21,89,33,68,112,29,21,4,2361437,40,203,1681,6232,16146,10,157,43,642,55318,10136,192597,76,2455,78927,1064,43,2039,38,610,8946,81,1364,11989,191,2803119,394943
"G410","1880","Oregon","410",,"Oregon",174768,163075,487,9512,1694,238,1058,6011,206,465,74,19,187,7804,5055,6969,1505,2754,158,1453,478,1291,1281,158,828,10754,637,256,345,457,5443,645,6201,67942,3342,111,122,2469,261,644,1835,95,2118,0,13,98,59,355,32,115,20,182,1650,67,5,67942,6,8,317,109,3019,8,9472,5,385,3061,514,5034,64,127,3659,167,40,92,59,379,1129,19,1557,730,25,144265,30503
"G420","1880","Pennsylvania","420",,"Pennsylvania",4282891,4197016,85535,156,184,306,147,552,98,6162,19034,240,730,4129,2591,1814,562,1829,741,3345,38826,10010,2422,294,512,1624,180,38,2026,44843,100490,1427,27502,48,3385693,1645,1159,793,251,3601,20189,5274,1317,0,21,102,2270,19,38,13,43,32,41,26,13,3385693,71,35,2317,1058,12376,29,182,335,945,109549,7949,168426,76,1068,236505,2794,95,3790,175,1040,20735,168,7956,6343,582,3695062,587829
"G440","1880","Rhode Island","440",,"Rhode Island",276531,269939,6488,27,77,21,7,104,7,7825,116,63,123,287,55,62,30,76,62,2846,863,23320,109,29,63,47,15,1,1725,854,6416,170,198,10,1280,152487,140,22,15,1543,1076,30,174,1,1,3,227,1,1,2,1,25,3,1,1,152487,11,185,28,29,18306,10,40,35,55,12667,312,1966,3,51,35281,313,2,97,210,25,3039,65,832,122,109,202538,73993
"G450","1880","South Carolina","450",,"South Carolina",995577,391105,604332,9,131,891,113,11,3,210,21,536,7641,49,37,12,9,194,118,135,437,350,24,430,5,62,2,1,47,175,1070,17297,122,4,429,64,952395,547,110,53,4058,12,136,0,1,2,72,0,1,1,1,1,0,2,0,952395,123,0,46,31,141,1,14,20,60,680,131,2846,4,16,2626,84,1,128,5,29,354,48,68,73,57,987891,7686
"G470","1880","Tennessee","470",,"Tennessee",1542359,1138831,403151,25,352,22200,3867,93,18,253,54,276,19481,2968,2840,370,419,24868,1560,194,1463,519,625,19632,157,3776,21,4,130,377,3082,41918,5035,42,3311,87,11698,1313552,1450,262,38059,165,374,0,9,7,278,3,63,8,8,9,29,21,22,1313552,39,1,111,30,545,7,31,11,98,2258,523,3983,18,66,5975,443,17,212,4,70,516,19,276,1026,24,1525657,16702
"G480","1880","Texas","480",,"Texas",1591749,1197237,393384,136,992,93625,41365,873,182,723,237,3601,61407,19643,9094,2772,2046,34121,37972,867,3168,1568,2148,62835,606,43168,220,30,349,1024,7909,23277,7949,104,5568,193,22124,83158,870705,557,27874,405,1317,0,73,51,331,31,1202,29,546,27,21,24,14,870705,274,10,3474,2669,2472,14,147,71,489,6749,2653,35347,26,228,8103,539,43161,995,74,279,1659,240,2173,1203,154,1477133,114616
"G495","1880","Utah Territory","495",,"Utah Territory",143963,142423,232,501,807,156,51,607,77,238,63,14,116,2230,475,1602,118,409,55,375,116,645,412,146,71,1224,381,349,150,372,2715,218,791,44,1628,53,70,402,122,328,442,17,275,0,58,10,30,258,5,84,13,81716,7,231,0,81716,106,40,22,3,1036,1,502,92,7791,22044,129,885,13,141,1321,138,17,16,4,54,3201,76,4964,1040,7,99969,43994
"G500","1880","Vermont","500",,"Vermont",332286,331218,1057,0,11,8,4,74,20,1211,15,13,28,286,64,122,29,28,37,1361,135,8295,238,33,75,50,12,8,11780,262,13733,38,348,5,372,320,24,18,26,251780,137,4,271,1,3,1,33,0,3,12,4,4,1,0,1,251780,6,7,5,4,24620,31,1,3,35,2767,138,396,4,10,11657,30,4,5,4,8,1006,10,78,45,7,291327,40959
"G510","1880","Virginia","510",,"Virginia",1512565,880858,631616,6,85,477,110,53,12,418,480,130,695,322,330,139,79,2087,392,346,7942,878,255,420,38,474,10,6,234,1349,5382,22505,1275,23,5541,118,898,4967,332,213,1435124,1641,179,0,4,6,1925,1,17,3,28,4,6,1,0,1435124,8,5,73,21,585,14,13,18,60,2916,289,3759,6,125,4835,281,10,59,22,39,893,34,78,174,73,1497869,14696
"G535","1880","Washington Territory","535",,"Washington Territory",75116,67199,325,3187,4405,73,403,2417,191,228,34,13,93,3228,2027,2846,801,879,82,1882,219,805,745,61,632,3160,363,112,214,229,2981,233,2727,6583,1823,99,43,606,137,312,612,74,1187,0,27,96,52,190,80,86,3,234,19359,32,0,19359,5,2,106,53,2857,2,3166,6,296,1846,245,2198,4,53,2243,71,19,37,26,205,628,10,1228,174,27,59313,15803
"G540","1880","West Virginia","540",,"West Virginia",618457,592537,25886,5,29,51,58,41,13,179,122,23,97,579,759,320,148,4361,106,186,8114,450,119,108,42,589,22,3,94,470,1565,1208,27535,0,18841,40,127,369,75,134,135599,397267,77,0,3,2,256,0,3,5,8,12,3,8,1,397267,2,2,62,34,295,0,9,1,38,2420,230,7029,2,19,6459,48,1,18,0,19,622,3,24,810,6,600192,18265
"G550","1880","Wisconsin","550",,"Wisconsin",1315497,1309618,2702,16,3161,163,63,233,121,4235,267,49,197,16471,6207,5018,453,1410,231,7861,955,8274,6933,159,5672,1785,351,38,3778,2907,86588,296,20512,65,19099,913,139,693,114,12554,1519,165,693177,0,7,116,126,15,12,21,14,69,9,11,7,693177,29,22,4601,13848,28965,15,60,30,8797,30268,2412,184328,112,5698,41907,253,30,5263,13,312,5770,21,57487,6283,62,910072,405425
"G565","1880","Wyoming Territory","565",,"Wyoming Territory",20789,19437,298,914,140,26,88,116,157,93,26,17,48,1056,492,700,365,305,41,229,186,396,236,40,71,1163,373,33,107,134,1599,95,1174,36,1169,51,21,161,137,178,257,38,338,0,10,43,53,36,16,47,33,451,2,2496,0,2496,7,0,23,10,542,0,913,1,188,1234,61,801,1,16,1093,15,40,14,1,19,432,3,323,49,6,14939,5850
