GISJOIN,YEAR,STATE,STATEA,AREANAME,ALABAMA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW YORK,NORTH CAROLINA,OHIO,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,TENNESSEE,TEXAS,VERMONT,VIRGINIA,WEST VIRGINIA,WISCONSIN,ALASKA,ARIZONA,DAKOTA,DISTRICT OF COLUMBIA,IDAHO,INDIAN TERRITORY,MONTANA,NEW MEXICO,UTAH,WASHINGTON,WYOMING,BORN AT SEA
G010,1880,Alabama,10,Alabama,507716,146,0,0,8,12,1023,29218,14,12,0,5,849,560,14,1497,29,7,1,5087,172,2,0,3,4,193,12372,44,0,45,4,14527,4891,235,22,20267,55,872,0,0,0,193,0,4,1,0,0,3,0,0
G045,1880,Arizona Territory,45,Arizona Territory,3,6,15,0,0,1,0,0,6,0,0,0,5,5,1,6,1,0,0,3,7,0,2,0,3,5,2,0,2,2,1,6,6,3,0,15,0,0,0,3447,0,4,0,0,0,9,16,0,0,0
G050,1880,Arkansas,50,Arkansas,11105,123938,6,4,1,5,243,11399,198,77,12,46,3315,4635,13,769,52,16,10,12087,1802,1,0,0,6,30,5897,186,0,107,20,5726,17986,2702,5,7834,11,197,0,0,1,68,0,293,1,1,12,1,1,0
G060,1880,California,60,California,60,43,19447,6,25,22,16,77,47,29,6,13,139,95,12,255,89,19,4,73,291,2,31,1,32,201,92,47,44,161,15,70,120,22,3,433,10,8,1,108,1,88,1,16,0,5,7,1,2,1
G080,1880,Colorado,80,Colorado,36,68,10,599,2,1,6,84,41,29,23,134,233,21,5,42,17,8,6,53,520,2,0,0,4,36,43,74,1,35,0,22,113,32,0,156,16,8,0,3,0,6,1,10,0,50,3,0,6,0
G090,1880,Connecticut,90,Connecticut,31,1,4,0,7124,69,22,96,7,11,2,0,35,48,15,359,387,5,0,17,5,0,0,5,192,1102,371,11,1,188,118,75,14,3,26,1127,12,6,0,0,1,149,0,0,1,2,0,0,0,6
G095,1880,Dakota Territory,95,Dakota Territory,5,3,0,4,1,0,1,8,5,2,13,2,32,1,2,9,2,2,165,4,69,8,0,0,1,7,2,8,0,11,0,3,11,3,0,29,2,2,0,0,1177,5,0,2,7,3,0,0,1,0
G100,1880,Delaware,100,Delaware,0,1,2,0,7,22686,1,13,1,4,0,0,12,3,24,2576,8,7,0,1,10,0,0,3,89,28,15,1,0,554,2,20,2,3,1,297,0,31,0,0,0,18,0,0,0,0,0,0,0,0
G110,1880,District Of Columbia,110,District of Columbia,114,9,8,2,32,36,37,155,20,11,1,1,104,89,10,12245,88,13,1,74,33,0,1,5,59,212,459,127,2,299,25,215,85,20,7,19913,184,1,0,0,1,24775,0,2,0,1,0,0,0,0
G120,1880,Florida,120,Florida,4053,28,2,1,6,7,88803,12360,6,8,0,3,102,169,6,323,23,3,1,251,12,0,0,5,10,126,3505,30,10,74,9,11688,215,33,4,2489,20,53,0,0,0,221,0,0,0,1,0,0,17,5
G130,1880,Georgia,130,Georgia,6203,53,2,0,13,8,2362,677938,5,4,0,2,238,174,8,855,19,1,5,762,32,0,0,1,23,81,7063,24,0,43,8,16294,1345,43,15,11214,13,98,0,0,0,80,0,0,0,6,0,0,0,8
G165,1880,Idaho Territory,165,Idaho Territory,1,0,11,0,0,0,0,3,1,1,0,0,1,0,0,5,0,0,0,0,2,1,0,0,0,2,2,0,17,0,0,0,2,1,0,6,0,0,0,0,0,0,150,1,2,0,0,12,1,0
G170,1880,Illinois,170,Illinois,1014,362,9,0,16,18,40,435,18964,637,173,52,5955,629,22,524,68,239,30,1401,5098,11,0,2,39,282,638,676,4,330,10,372,4588,88,25,2878,69,269,0,1,0,123,1,16,8,2,1,0,0,4
G180,1880,Indiana,180,Indiana,240,39,1,1,3,12,20,198,335,16713,12,43,12965,122,3,138,8,252,6,186,200,0,2,8,11,133,3167,1091,1,108,4,210,1390,27,6,1563,47,44,0,0,0,27,7,4,2,1,0,0,9,0
G190,1880,Iowa,190,Iowa,133,148,3,2,10,6,12,96,305,100,3664,66,733,74,6,73,12,28,32,230,2315,23,0,2,8,92,128,166,0,73,0,83,368,40,9,750,24,78,0,0,5,19,0,2,0,0,0,0,0,1
G200,1880,Kansas,200,Kansas,854,768,6,7,2,10,33,532,322,246,131,10921,6985,1300,19,214,11,127,9,2776,6488,15,0,0,14,72,842,325,0,125,4,384,5418,2464,0,1844,32,104,0,1,0,29,0,355,6,4,0,0,0,0
G210,1880,Kentucky,210,Kentucky,352,112,2,0,2,6,22,364,153,341,8,6,252618,282,3,307,10,12,3,566,530,0,0,0,9,30,792,346,2,80,0,319,7558,117,5,6322,59,78,0,0,0,26,2,0,0,0,0,0,0,4
G220,1880,Louisiana,220,Louisianna,12517,1970,16,1,19,29,912,8178,82,59,8,27,4810,386348,78,4124,45,106,14,23317,1508,0,1,5,15,155,4790,259,2,189,11,6619,3381,3910,31,19586,125,5,0,44,1,305,2,15,0,2,0,1,0,1
G230,1880,Maine,230,Maine,2,0,0,0,5,1,6,12,0,0,0,0,3,12,1544,27,25,0,0,0,2,0,0,18,5,17,20,1,0,8,2,17,1,3,6,111,2,0,0,0,0,10,0,0,0,0,0,0,0,0
G240,1880,Maryland,240,Maryland,54,9,8,0,22,451,39,143,10,9,1,1,69,81,4,196699,56,1,1,42,23,0,1,2,49,138,472,40,1,610,12,194,52,33,7,9739,238,2,0,0,1,657,0,1,0,0,0,0,0,0
G250,1880,Massachusetts,250,Massachusetts,23,1,3,2,400,77,55,184,12,9,2,0,37,47,216,731,9750,12,1,26,11,0,0,84,121,600,607,26,2,342,191,307,46,7,74,3395,48,22,0,1,0,260,0,0,0,5,12,1,0,0
G260,1880,Michigan,260,Michigan,88,14,3,0,19,99,6,72,118,763,39,15,810,36,13,180,24,13861,3,58,104,0,0,0,44,417,427,1177,1,319,7,93,238,43,27,972,65,58,0,0,0,49,0,32,0,2,2,0,1,3
G270,1880,Minnesota,270,Minnesota,47,10,3,0,13,2,3,20,28,20,22,3,107,19,5,37,5,21,2541,48,140,10,0,0,3,49,47,69,0,33,1,27,67,2,0,101,3,178,0,1,19,13,0,5,2,0,0,0,0,0
G280,1880,Mississippi,280,Mississippi,35991,2016,7,1,8,21,595,15663,123,56,14,12,5337,7741,19,2105,28,19,7,509938,1373,1,0,3,9,66,13296,238,3,286,1,16117,15298,672,2,24579,168,9,0,0,1,154,0,7,0,1,0,0,0,0
G290,1880,Missouri,290,Missouri,833,931,19,10,20,12,59,562,768,138,126,491,9368,1591,11,665,37,37,12,2094,111895,17,0,2,14,89,962,460,3,236,6,439,4713,601,13,7817,78,37,0,1,4,67,1,83,4,6,1,0,2,0
G305,1880,Montana Territory,305,Montana Territory,2,0,10,8,0,0,1,0,2,0,0,5,19,3,0,1,0,0,20,0,44,1,0,0,1,3,1,6,25,6,0,10,8,1,0,29,0,2,0,1,101,4,20,1,1374,2,2,25,2,0
G310,1880,Nebraska,310,Nebraska,65,21,1,9,3,4,1,53,49,35,45,66,208,140,0,28,5,9,42,117,542,535,0,1,13,31,46,36,0,29,4,20,109,13,4,174,11,23,0,0,52,18,0,7,0,0,1,0,5,0
G320,1880,Nevada,320,Nevada,4,11,47,5,0,3,0,1,5,0,0,0,19,11,0,27,4,3,0,1,10,0,2994,0,2,18,9,10,5,11,1,3,3,1,0,41,2,0,0,1,0,6,4,0,0,0,1,0,0,0
G330,1880,New Hampshire,330,New Hampshire,4,0,0,0,3,1,5,3,1,0,0,0,6,7,18,21,37,0,0,3,0,0,0,420,3,10,12,0,0,4,2,10,4,0,41,83,0,0,0,0,0,3,0,0,0,1,0,0,0,0
G340,1880,New Jersey,340,New Jersey,29,2,7,0,87,1718,49,105,7,2,3,0,39,33,25,1718,70,5,0,28,13,2,0,4,27669,1351,292,26,0,2018,18,219,38,10,6,2939,33,1,0,1,2,149,0,0,0,0,0,0,0,1
G355,1880,New Mexico Territory,355,New Mexico Territory,14,6,975,36,1,0,1,4,3,2,2,5,40,8,1,16,1,0,2,1,17,1,0,1,2,1,14,6,0,8,1,16,8,12,0,43,0,0,0,16,0,1,0,3,0,9471,1,0,1,0
G360,1880,New York,360,New York,91,17,20,1,626,296,153,608,23,13,11,10,149,191,46,2484,391,42,3,60,40,0,5,24,1787,44639,1237,117,7,1642,105,812,109,22,141,7383,80,43,0,0,3,680,0,1,0,52,8,1,0,2
G370,1880,North Carolina,370,North Carolina,250,16,1,0,4,9,48,500,2,4,0,2,55,49,6,193,22,3,1,246,13,0,0,1,4,37,515912,36,0,41,17,5963,306,38,72,8289,100,167,0,0,0,42,0,1,0,0,0,0,5,3
G390,1880,Ohio,390,Ohio,366,89,2,3,32,33,25,374,102,606,34,60,11512,263,16,761,52,227,7,532,212,0,0,4,47,367,2485,44383,2,1132,12,419,1598,102,68,12087,1089,270,0,0,0,137,1,8,1,5,0,9,0,3
G410,1880,Oregon,410,Oregon,2,2,60,3,1,2,0,2,1,1,0,0,8,4,0,10,10,2,0,1,19,1,2,0,2,9,0,2,1889,5,0,2,7,1,0,14,1,0,0,0,0,4,7,3,3,10,4,28,0,0
G420,1880,Pennsylvania,420,Pennsylvania,71,11,15,1,78,4668,59,222,31,30,5,7,176,110,19,8913,121,42,1,55,39,1,6,34,1737,684,588,350,1,55281,40,480,118,20,8,10101,436,7,0,1,7,528,1,2,2,2,0,0,0,0
G440,1880,Rhode Island,440,Rhode Island,4,2,6,0,270,70,21,28,4,2,0,0,15,24,11,596,294,2,1,4,3,0,0,9,78,321,126,6,0,190,3203,63,2,5,10,876,7,7,0,0,0,170,0,0,0,0,0,0,0,0
G450,1880,South Carolina,450,South Carolina,357,19,1,0,7,2,250,3885,0,1,0,1,48,40,4,205,18,3,1,163,7,0,0,0,8,59,6882,17,1,43,4,588819,130,12,3,3163,6,52,0,0,0,28,0,0,1,0,0,0,0,0
G470,1880,Tennessee,470,Tennessee,7085,1056,1,0,12,5,97,7938,94,52,16,57,6637,655,2,642,25,23,14,10544,759,0,0,0,15,179,9383,193,1,79,2,4271,338433,305,33,14482,45,67,0,3,0,158,0,10,2,1,1,15,7,22
G480,1880,Texas,480,Texas,20313,5154,8,4,14,29,783,14239,111,104,18,65,4892,11768,37,1498,45,38,35,12689,3194,0,0,1,37,140,6800,186,2,216,14,7075,10434,279544,8,13328,60,17,0,6,0,138,4,408,0,11,1,2,5,2
G495,1880,Utah Territory,495,Utah Territory,4,2,4,0,3,0,0,4,2,3,0,1,14,2,0,1,0,4,0,10,16,0,2,0,1,7,3,3,0,0,1,1,2,2,0,13,0,1,0,16,0,1,1,1,7,1,869,0,9,0
G500,1880,Vermont,500,Vermont,0,1,0,0,11,0,4,2,0,0,0,0,0,5,3,16,65,0,0,6,1,0,0,20,5,118,8,2,0,5,2,9,5,0,668,74,3,4,0,0,0,8,0,1,0,0,0,0,0,0
G510,1880,Virginia,510,Virginia,103,14,0,0,12,11,40,173,10,12,0,4,87,76,3,1333,23,3,0,141,14,0,0,1,21,188,9349,49,6,103,12,239,394,31,0,618628,149,68,0,1,0,318,0,5,0,0,0,0,0,0
G535,1880,Washington Territory,535,Washington Territory,0,1,17,1,0,1,0,2,1,0,0,0,1,3,0,2,3,0,0,1,3,0,0,0,1,6,2,40,52,3,0,0,2,0,0,7,0,0,0,7,1,4,0,73,0,0,0,4183,0,0
G540,1880,West Virginia,540,West Virginia,5,3,1,0,2,0,6,27,3,4,0,0,89,14,0,271,3,5,0,11,8,0,0,0,2,12,108,276,0,148,0,38,20,4,2,9239,15547,11,0,0,0,24,0,0,0,0,0,0,0,0
G550,1880,Wisconsin,550,Wisconsin,38,13,0,0,9,1,3,26,62,21,5,0,94,14,1,25,2,25,30,31,57,1,1,1,5,186,29,44,0,25,3,18,101,1,1,147,2,4739,0,0,2,7,0,0,0,0,0,0,1,1
G565,1880,Wyoming Territory,565,Wyoming Territory,3,2,3,1,0,1,1,1,4,3,3,9,35,2,0,5,0,1,2,2,55,7,0,0,0,2,5,5,1,6,0,3,12,2,0,27,0,0,0,1,9,4,6,3,0,0,7,0,197,0
