gisjoin,year,state,statea,areaname,totblkpop,ncnatives,ncperblkpop,kyperblkpop,msperblkpop,statenativeper,alabama,arkansas,california,connecticut,delaware,florida,georgia,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,nebraska,nevada,new hampshire,new jersey,new york,north carolina,ohio,oregon,pennsylvania,rhode island,south carolina,tennessee,texas,vermont,va and wva,wisconsion,alaska territory,arizona territory,colorado territory,dakota territory,district of columbia,idaho territory,indian territory,montana territory,new mexico territory,utah territory,washington territory,wyoming territory,born at sea,native born_place not stated
G130,1870,Georgia,130,Georgia,544770,7063,0.012965105,0.000513978,0.001470345,0.907472878,4443,136,0,12,14,2110,494364,6,5,0,3,280,177,6,1036,20,0,0,801,58,0,2,2,10,35,7063,17,0,23,8,18226,1092,51,3,14642,0,0,0,0,0,87,0,0,0,0,0,1,0,0,37
G165,1870,Idaho Territory,165,Idaho Territory,47,1,0.021276596,0.14893617,0,0.042553191,0,0,3,0,0,0,0,1,0,1,0,7,1,0,4,3,0,0,0,3,0,0,0,0,4,1,1,1,1,0,1,0,1,0,9,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0
G170,1870,Illinois,170,Illinois,28549,594,0.020806333,0.154296122,0.032540544,0.293775614,969,327,4,15,14,11,329,8387,385,72,22,4405,396,9,403,45,85,7,929,4048,3,0,4,31,201,594,389,2,262,19,298,3502,52,14,2074,111,0,0,0,0,100,0,5,0,2,0,0,0,0,24
G180,1870,Indiana,180,Indiana,24517,1354,0.055226985,0.382224579,0.007708937,0.40017131,155,31,0,3,10,10,148,209,9811,11,5,9371,89,0,103,12,46,1,189,123,0,0,5,16,30,1354,687,8,65,1,180,678,7,1,1106,9,0,0,0,0,28,0,0,0,0,0,0,1,0,14
G190,1870,Iowa,190,Iowa,5737,107,0.018650863,0.112776713,0.032944047,0.24106676,122,109,1,1,8,4,79,129,77,1383,6,647,35,1,72,14,14,6,189,1552,6,0,6,4,52,107,118,1,74,0,57,306,10,9,506,22,0,0,3,0,7,0,0,0,0,0,0,0,0,0
G200,1870,Kansas,200,Kansas,17066,420,0.024610336,0.138286652,0.007734677,0.22248916,168,893,2,4,5,4,127,52,66,14,3797,2360,98,4,121,7,80,7,132,5924,5,1,1,3,29,420,179,1,66,1,74,696,178,0,1142,10,2,0,3,0,23,0,352,1,1,2,0,1,0,10
G210,1870,Kentucky,210,Kentucky,222161,960,0.00432119,0.925378442,0.001836506,0.925378442,323,92,0,1,2,13,299,45,83,0,1,205583,208,8,406,13,14,1,408,528,0,0,0,9,39,960,174,1,55,2,311,5560,57,0,6931,3,0,0,0,0,26,0,0,0,0,0,0,0,0,5
G220,1870,Louisiana,220,Louisianna,363067,5237,0.014424335,0.016539647,0.049112147,0.727017327,9738,1635,3,12,30,826,8095,69,42,2,1,6005,263956,23,5485,60,9,93,17831,1613,0,0,3,23,178,5237,186,0,157,8,7048,4127,2335,5,27673,10,0,0,0,0,459,0,6,0,0,0,0,0,0,84
G230,1870,Maine,230,Maine,1446,34,0.02351314,0.005532503,0.001383126,0.657676349,1,5,0,3,3,5,13,0,1,0,0,8,21,951,35,48,0,0,2,2,0,0,20,7,28,34,0,0,10,2,17,9,0,5,193,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3
G240,1870,Maryland,240,Maryland,175240,297,0.001694819,0.000268204,0.000239671,0.955375485,33,2,5,13,347,14,122,3,9,0,0,47,50,2,167420,30,0,0,42,14,0,0,1,37,107,297,33,0,412,9,149,68,23,2,5624,0,0,0,0,0,323,0,0,0,0,0,0,0,0,2
G250,1870,Massachusetts,250,Massachusetts,13055,465,0.035618537,0.002834163,0.001225584,0.52232861,26,3,5,338,66,31,122,10,2,0,0,37,60,105,751,6819,6,0,16,13,0,0,79,103,592,465,42,0,318,185,224,39,2,70,2313,2,0,0,0,0,192,0,0,0,0,0,0,1,0,18
