county,census_yr,free,enslaved,totalblkpop,name
Alamance,1880,4613,0,4613,ALAMANCE
Alexander,1880,897,0,897,ALEXANDER
Alleghany,1880,519,0,519,ALLEGHANY
Anson,1880,9204,0,9204,ANSON
Ashe,1880,963,0,963,ASHE
Beaufort,1880,7452,0,7452,BEAUFORT
Bertie,1880,9584,0,9584,BERTIE
Bladen,1880,8560,0,8560,BLADEN
Brunswick,1880,4052,0,4052,BRUNSWICK
Buncombe,1880,3476,0,3476,BUNCOMBE
Burke,1880,2721,0,2721,BURKE
Cabarrus,1880,5115,0,5115,CABARRUS
Caldwell,1880,1599,0,1599,CALDWELL
Camden,1880,2471,0,2471,CAMDEN
Carteret,1880,2676,0,2676,CARTERET
Caswell,1880,10656,0,10656,CASWELL
Catawba,1880,2477,0,2477,CATAWBA
Chatham,1880,7953,0,7953,CHATHAM
Cherokee,1880,288,0,288,CHEROKEE
Chowan,1880,4267,0,4267,CHOWAN
Clay,1880,141,0,141,CLAY
Cleveland,1880,2871,0,2871,CLEVELAND
Columbus,1880,5513,0,5513,COLUMBUS
Craven,1880,13064,0,13064,CRAVEN
Cumberland,1880,11241,0,11241,CUMBERLAND
Currituck,1880,1981,0,1981,CURRITUCK
Dare,1880,368,0,368,DARE
Davidson,1880,3992,0,3992,DAVIDSON
Davie,1880,3326,0,3326,DAVIE
Duplin,1880,8186,0,8186,DUPLIN
Edgecombe,1880,18213,0,18213,EDGECOMBE
Forsyth,1880,4629,0,4629,FORSYTH
Franklin,1880,11353,0,11353,FRANKLIN
Gaston,1880,4066,0,4066,GASTON
Gates,1880,3924,0,3924,GATES
Graham,1880,23,0,23,GRAHAM
Granville,1880,17670,0,17670,GRANVILLE
Greene,1880,5885,0,5885,GREENE
Guilford,1880,6700,0,6700,GUILFORD
Halifax,1880,21162,0,21162,HALIFAX
Harnett,1880,3770,0,3770,HARNETT
Haywood,1880,484,0,484,HAYWOOD
Henderson,1880,1388,0,1388,HENDERSON
Hertford,1880,6721,0,6721,HERTFORD
Hyde,1880,3341,0,3341,HYDE
Iredell,1880,5913,0,5913,IREDELL
Jackson,1880,375,0,375,JACKSON
Johnston,1880,7465,0,7465,JOHNSTON
Jones,1880,4279,0,4279,JONES
Lenoir,1880,8067,0,8067,LENOIR
Lincoln,1880,2881,0,2881,LINCOLN
Macon,1880,656,0,656,MACON
Madison,1880,459,0,459,MADISON
Martin,1880,6479,0,6479,MARTIN
McDowell,1880,1897,0,1897,MCDOWELL
Mecklenburg,1880,16241,0,16241,MECKLENBURG
Mitchell,1880,503,0,503,MITCHELL
Montgomery ,1880,2517,0,2517,MONTGOMERY 
Moore,1880,5332,0,5332,MOORE
Nash,1880,8314,0,8314,NASH
New Hanover,1880,13217,0,13217,NEW HANOVER
Northampton,1880,12046,0,12046,NORTHAMPTON
Onslow,1880,3229,0,3229,ONSLOW
Orange,1880,9143,0,9143,ORANGE
Pamlico,1880,2116,0,2116,PAMLICO
Pasquontank,1880,5514,0,5514,PASQUONTANK
Pender,1880,6957,0,6957,PENDER
Perquimans,1880,4671,0,4671,PERQUIMANS
Person,1880,6513,0,6513,PERSON
Pitt,1880,11088,0,11088,PITT
Polk,1880,1144,0,1144,POLK
Randolph,1880,3078,0,3078,RANDOLPH
Richmond,1880,10104,0,10104,RICHMOND
Robeson,1880,11988,0,11988,ROBESON
Rockingham,1880,9313,0,9313,ROCKINGHAM
Rowan,1880,6339,0,6339,ROWAN
Rutherford,1880,3255,0,3255,RUTHERFORD
Sampson,1880,9549,0,9549,SAMPSON
Stanly,1880,1339,0,1339,STANLY
Stokes,1880,3623,0,3623,STOKES
Surry,1880,2075,0,2075,SURRY
Swain,1880,109,0,109,SWAIN
Transylvania,1880,517,0,517,TRANSYLVANIA
Tyrrell,1880,1485,0,1485,TYRRELL
Union,1880,4596,0,4596,UNION
Wake,1880,23650,0,23650,WAKE
Warren,1880,16233,0,16233,WARREN
Washington,1880,4374,0,4374,WASHINGTON
Watauga,1880,414,0,414,WATAUGA
Wayne,1880,12124,0,12124,WAYNE
Wilkes,1880,1924,0,1924,WILKES
Wilson,1880,7409,0,7409,WILSON
Yadkin,1880,1544,0,1544,YADKIN
Yancey,1880,825,0,825,YANCEY
