GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AOT001,APP001,APP002,APP003,APP004,AP3001,AP3002,AP3003,AP3004,AP3005,AP3006,AP3007,AP3008,AP3009,AP3010,AP3011,AP3012,AP3013,AP3014,AP3015,AP3016,AP3017,AP3018,AP3019,AP3020,AP3021,AP3022,AP3023,AP3024,AP3025,AP3026,AP3027,AP3028,AP3029,AP3030,AP3031,AP3032,AP3033,AP3034,AP3035,AP3036,AP3037,AP3038,AP3039,AP3040,AP3041,AP3042,AP3043,AP3044,AP3045,AP3046,AP3047,AP3048,AP3049,AP3050,AP3051,AP3052,AP3053,AP3054,AP3055,AP3056,AP3057,AP3058,AP3059,AP3060,AP3061,AP3062,AP3063,AP3064,AP3065,AP3066,AP3067,AP3068,AP3069,AP3070,AP3071,AP3072,AP3073,AP3074,AP3075,AP3076,AP4001,AP4002
G3700093,1880,North Carolina,370,Tyrrell,1770,Tyrrell,4545,3110,1435,0,0,0,,,,,,,0,,,,,,,,1,,,0,,,,,,,10,4500,,,1,,1,0,,,24,,,,,,,,,,,,,,,4500,,,,,0,,,,0,3,0,0,0,,1,,,,,,0,,0,0,,4541,4
G3700094,1880,North Carolina,370,Union,1790,Union,18056,13520,4536,0,0,12,,,,,,,17,,,,,,,,1,,,13,,,,,,,3,16278,,,1,,1627,8,,,20,,,,,,,,,,,,,,,16278,,,,,1,,,,0,4,3,1,0,,4,,,,,,1,,0,0,,18038,18
G3700095,1880,North Carolina,370,Wake,1830,Wake,47939,24289,23650,0,0,21,,,,,,,40,,,,,,,,27,,,29,,,,,,,66,46657,,,49,,76,38,,,506,,,,,,,,,,,,,,,46657,,,,,24,,,,4,70,3,63,0,,49,,,,,,19,,2,4,,47675,264
G3700096,1880,North Carolina,370,Warren,1850,Warren,22619,6386,16233,0,0,20,,,,,,,13,,,,,,,,4,,,12,,,,,,,34,20671,,,16,,25,12,,,1554,,,,,,,,,,,,,,,20671,,,,,87,,,,2,52,4,5,0,,13,,,,,,10,,0,1,,22439,180
G3700097,1880,North Carolina,370,Washington,1870,Washington,8928,4554,4374,0,0,3,,,,,,,0,,,,,,,,6,,,0,,,,,,,10,8817,,,3,,9,0,,,49,,,,,,,,,,,,,,,8817,,,,,1,,,,0,2,0,8,0,,6,,,,,,1,,0,0,,8910,18
G3700098,1880,North Carolina,370,Watauga,1890,Watauga,8160,7746,414,0,0,0,,,,,,,10,,,,,,,,0,,,0,,,,,,,0,7711,,,0,,40,309,,,70,,,,,,,,,,,,,,,7711,,,,,0,,,,0,0,0,0,0,,0,,,,,,0,,0,0,,8160,0
G3700099,1880,North Carolina,370,Wayne,1910,Wayne,24951,12827,12124,0,0,18,,,,,,,17,,,,,,,,19,,,15,,,,,,,15,24466,,,12,,65,10,,,188,,,,,,,,,,,,,,,24466,,,,,3,,,,0,4,0,54,0,,18,,,,,,2,,0,3,,24863,88
G3700100,1880,North Carolina,370,Wilkes,1930,Wilkes,19181,17257,1924,0,0,3,,,,,,,6,,,,,,,,3,,,1,,,,,,,2,18974,,,4,,12,46,,,94,,,,,,,,,,,,,,,18974,,,,,1,,,,0,1,0,1,0,,3,,,,,,0,,0,0,,19175,6
G3700101,1880,North Carolina,370,Wilson,1950,Wilson,16064,8655,7409,0,0,2,,,,,,,8,,,,,,,,4,,,4,,,,,,,6,15841,,,1,,28,4,,,117,,,,,,,,,,,,,,,15841,,,,,3,,,,0,0,0,5,0,,2,,,,,,0,,0,0,,16047,17
G3700102,1880,North Carolina,370,Yadkin,1970,Yadkin,12420,10876,1544,0,0,3,,,,,,,3,,,,,,,,1,,,2,,,,,,,1,12310,,,0,,13,9,,,62,,,,,,,,,,,,,,,12310,,,,,0,,,,0,0,0,1,0,,0,,,,,,0,,0,0,,12419,1
G3701990,1880,North Carolina,370,Yancey,1990,Yancey,7694,7369,325,0,0,1,,,,,,,4,,,,,,,,1,,,6,,,,,,,0,7486,,,0,,37,140,,,12,,,,,,,,,,,,,,,7486,,,,,0,,,,0,1,0,0,0,,0,,,,,,0,,0,0,,7693,1
